file	sight	kind	lat	lon	bearing	pitch	elevation	sky	labels	width	height	await_ms	command
aoraki-mount-cook.sky-on.peaks-on.areas-on.b45.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	45	-8	0.9	on	peaks,mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks,mountain_ranges,islands,lakes,cities" --download 900000 --shot "45,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-on.b45.wide.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b345.std.png	aoraki-mount-cook	matrix	-43.72	170.1	345	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "345,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b345.std.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b345.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	345	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "345,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b345.wide.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b15.std.png	aoraki-mount-cook	matrix	-43.72	170.1	15	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "15,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b15.std.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b15.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	15	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "15,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b15.wide.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b45.std.png	aoraki-mount-cook	matrix	-43.72	170.1	45	-2	0.55	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "45,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b45.std.png"
aoraki-mount-cook.sky-on.peaks-on.areas-off.b45.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	45	-8	0.9	on	peaks	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "peaks" --download 900000 --shot "45,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-on.areas-off.b45.wide.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b345.std.png	aoraki-mount-cook	matrix	-43.72	170.1	345	-2	0.55	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "345,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b345.std.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b345.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	345	-8	0.9	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "345,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b345.wide.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b15.std.png	aoraki-mount-cook	matrix	-43.72	170.1	15	-2	0.55	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "15,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b15.std.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b15.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	15	-8	0.9	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "15,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b15.wide.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b45.std.png	aoraki-mount-cook	matrix	-43.72	170.1	45	-2	0.55	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "45,-2,0.55,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b45.std.png"
aoraki-mount-cook.sky-on.peaks-off.areas-on.b45.wide.png	aoraki-mount-cook	matrix	-43.72	170.1	45	-8	0.9	on	mountain_ranges,islands,lakes,cities	1600	1000	120000	java -jar headless/build/libs/peaknav-headless-1.1.0.jar --lat -43.72 --lon 170.1 --width 1600 --height 1000 --await 120000 --sky on --sky-mode local --constellations on --horizon-compass off --coordinates off --labels "mountain_ranges,islands,lakes,cities" --download 900000 --shot "45,-8,0.9,snapshots/images/aoraki-mount-cook.sky-on.peaks-off.areas-on.b45.wide.png"
